"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C26","3","50p","","","","Custom_capacitors:CAPC2012X140N(50pF 1206 1 C0G 100V)","~"
"C3,C4,C5","3","200p","","","","Custom_capacitors:CAPC2012X145N(200pF 0805 0.1err)","~"
"C6,C9,C11,C13,C15,C17,C19,C21,C23,C25","10","TH3A105K035D6600","","","","Custom_capacitors:CAPPM3216X180N(1uF 35V 1206 0.1err","http://www.vishay.com/doc?40084"
"C7,C8,C10,C12,C14,C16,C18,C20,C22,C24","10","C1206C104K5RACTM","","","","Custom_capacitors:CAPPM3216X180N(0.1uF 1206 0.1acc)","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf"
"R1","1","2.7k","","","","Custom_resistors:RES_TNPW0603_VIS-L(2.7k Ohm 0603 0.1err)","~"
"R2","1","TS63Y201KR10","","","","Custom_trimpot:TRIM_TS63Y201KR10",""
"R3,R4,R7,R10","4","4.2k","","","","Custom_resistors:RESC2012X55N(4.02k Ohm 0805 0.1err)","~"
"R6","1","3.92k","","","","Custom_resistors:RES_TNPW0805_VIS-L(3.92k Ohm 0805 0.1)","~"
"R8,R9","2","500","","","","Custom_resistors:RESC2012X55N(500 Ohm 0805 0.05err)","~"
"TP1,TP2,TP3,TP6,TP7,TP8,TP9","7","TestPoint","","","","Custom_trimpot:PAD_EXT_2.54x5.08mm","~"
"TP4,TP5,TP10","3","TestPoint","","","","Custom_testpoint:PAD_EXT_0.635x2.54mm","~"
"U1","1","LT6370HMS8-TRPBF","","","","Custom_amplifiers:LT6370HMS8_TRPBF_L","LT6370HMS8-TRPBF"
"U2,U3,U4,U5","4","LT1793AIS8-PBF","","","","Custom_amplifiers:LT1793AIS_8_PBF","LT1793AIS8-PBF"
